Change Component Comment : Designator=BZ1 Old Comment=YZ5020CS-03L-4.0-12-R New Comment=MLT-5020
Change component parameters (AddParameter): Name = "DatasheetDocument"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDocument"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "MMBT3904"; VariantName = "[No Variations]"
Change component parameters: Designator = "U1" ("U1"); Footprint = "SOT-23-5-0.95MM"; UniqueID = "\WFJOXUVV" ("\WFJOXUVV")
Change component parameters (AddParameter): Name = "Value"; Value = "XC6223T331MR-G"; VariantName = "[No Variations]"
Change component parameters: Designator = "X1" ("X1"); Footprint = "XTAL-SMD-20X16"; UniqueID = "\MCQJMTGY" ("\MCQJMTGY")
Change component parameters (AddParameter): Name = "Value"; Value = "24MHz / 8pF"; VariantName = "[No Variations]"
